Usuario	Juegos	Cartera	Broquer	An�lisi	Noticies	Foros	Previsi�	Inversi�	Ahorro	Temps real
372	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50
374	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
375	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
376	22.22	11.11	0.00	0.00	0.00	0.00	0.00	11.11	0.00	11.11
377	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
378	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
379	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
380	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
382	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
384	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
385	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
386	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
390	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
391	11.11	11.11	0.00	0.00	0.00	0.00	0.00	11.11	11.11	11.11
392	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
393	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
394	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
395	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
398	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
399	22.22	11.11	0.00	0.00	0.00	0.00	0.00	11.11	0.00	11.11
400	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
401	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
402	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
403	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
405	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
406	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
407	10.00	10.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	10.00
408	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
410	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
411	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
412	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
413	11.11	11.11	0.00	0.00	0.00	0.00	0.00	11.11	0.00	11.11
414	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
418	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
420	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
422	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
423	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
425	11.11	11.11	0.00	0.00	0.00	0.00	0.00	11.11	0.00	11.11
426	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
428	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
429	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
430	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
431	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
432	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
433	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
434	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
435	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
436	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
439	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
442	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
443	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
444	12.50	12.50	0.00	0.00	0.00	0.00	0.00	12.50	12.50	12.50
446	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
447	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50
448	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
449	10.00	10.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	10.00
450	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
451	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50
453	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
455	11.11	11.11	0.00	0.00	0.00	0.00	0.00	11.11	0.00	11.11
458	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
459	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
460	10.00	10.00	0.00	0.00	0.00	0.00	0.00	10.00	10.00	10.00
461	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
462	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	11.11	11.11
464	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
468	20.00	10.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	10.00
469	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
475	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
476	11.11	11.11	0.00	0.00	0.00	0.00	0.00	11.11	0.00	11.11
478	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
480	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
481	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
482	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
483	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
485	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
486	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
487	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
488	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50
489	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
492	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
